引脚序号 ,引脚名称 ,引脚功能定义 ,连接关系说明
59 ,VDD_PSRAM_0 ,电源输入 ,连接MCU 的VDDO_PSRAM 脚
60 ,GPIO30 ,RS485_RXD ,连接TP8485E-SR 的 R 脚
61 ,GPIO31 ,RS485_TXD ,连接TP8485E-SR 的 D 脚
62 ,VDD_IO_4 ,电源输入 ,连接3.3V 电源
63 ,GPIO32 ,RS485_RE ,连接TP8485E-SR 的 RE、DE 脚
64 ,GPIO33 ,CAN_TXD ,连接TJA1050 的TXD 脚
65 ,GPIO34 ,CAN_RXD ,连接TJA1050 的RXD 脚
66 ,GPIO35 ,BOOT ,连接按键BOOT
67 ,VDD_PSRAM_1 ,电源输入 ,连接MCU 的VDDO_PSRAM 脚
68 ,GPIO36 ,启动模式控制 ,连接上拉电阻10K
69 ,GPIO37 ,U0_TXD ,连接CH343P 的RXD 脚
70 ,GPIO38 ,U0_RXD ,连接CH343P 的TXD 脚
71 ,VDDO_FLASH ,电源输出,给MCU 的VDD_FLASHIO 脚及W25Q128 供电
72 ,VDDO_PSRAM ,电源输出,给MCU 的VDD_PSRAM_0 脚及VDD_PSRAM_1 脚供电
73 ,VDDO_3 ,电源输出 ,给MCU 的VDD_MIPI_DPHY 脚供电
74 ,VDDO_4 ,电源输出 ,给MCU 的VDD_IO_5 脚供电
75 ,VDD_LDO ,电源输入 ,连接3.3V 电源
76 ,VDD_HP_2 ,电源输入 ,连接1.3V 电源
77 ,VDD_DCDCC ,电源输入 ,连接3.3V 电源
78 ,FB_DCDC ,模拟 ,连接TLV62569(U9)的FB 脚
79 ,EN_DCDC ,模拟 ,连接TLV62569(U9)的EN 脚
80 ,GPIO39 ,SD1_D0 ,TF 卡接口的DAT0 脚
81 ,GPIO40 ,SD1_D1 ,TF 卡接口的DAT1 脚
82 ,GPIO41 ,SD1_D2 ,TF 卡接口的DAT2 脚
83 ,GPIO42 ,SD1_D3 ,TF 卡接口的DAT3 脚
84 ,GPIO43 ,SD1_CLK ,TF 卡接口的CLK 脚
85 ,VDD_IO_5 ,电源输入 ,连接MCU 的VDDO_4 脚
86 ,GPIO44 ,SD1_CMD ,TF 卡接口的CMD 脚
87 ,GPIO45 ,SD1_PWR_EN ,控制TF 卡接口的VDD
88 ,GPIO46 ,LCD_ID ,DSI 屏幕接口的LCD_ID 脚
89 ,GPIO47 ,RTP_MISO ,SPI 屏幕接口的触摸信号
90 ,GPIO48 ,KEY0 ,连接按键KEY0
91 ,VDD_HP_3 ,电源输入 ,连接1.3V 电源
92 ,GPIO49 ,SD2_D0 ,连接ESP-C6 模组的 IO20
93 ,GPIO50 ,SD2_D1 ,连接ESP-C6 模组的 IO21
94 ,GPIO51 ,SD2_D2 ,连接ESP-C6 模组的 IO22
95 ,GPIO52 ,SD2_D3 ,连接ESP-C6 模组的 IO23
96 ,VDD_IO_6 ,电源输入 ,连接3.3V 电源
97 ,GPIO53 ,SD2_CMD ,连接ESP-C6 模组的 IO18
98 ,GPIO54 ,SD2_CLK ,连接ESP-C6 模组的 IO19
99 ,XTAL_N ,模拟 ,连接40MHz 晶振
100 ,XTAL_P ,模拟 ,连接40MHz 晶振
101 ,VDD_ANA ,电源输入 ,连接3.3V 电源
102 ,VDD_BAT ,电源输入 ,连接3.3V 电源
103 ,CHIP_PU ,ESP32_EN ,连接按键RESET
104 ,CPIO0 ,XTAL_32K_N ,连接32.768KHz 晶振
105 ,GND ,地 ,连接GND
